Date,Open,High,Low,Close,Adj Close,Volume
2018-08-24,5.090000,5.220000,5.050000,5.190000,5.082677,1329800
2018-08-27,5.210000,5.220000,5.150000,5.160000,5.053298,552100
2018-08-28,5.170000,5.180000,5.120000,5.170000,5.063091,365800
2018-08-29,5.150000,5.170000,5.140000,5.160000,5.053298,200000
2018-08-30,5.210000,5.210000,5.110000,5.120000,5.014124,474000
2018-08-31,5.160000,5.240000,5.150000,5.150000,5.043504,1809200
2018-09-04,5.320000,5.320000,5.170000,5.240000,5.131643,657100
2018-09-05,5.320000,5.360000,5.280000,5.310000,5.200196,761300
2018-09-06,5.320000,5.360000,5.300000,5.340000,5.229576,894800
2018-09-07,5.360000,5.400000,5.290000,5.300000,5.190403,905600
2018-09-10,5.360000,5.440000,5.320000,5.340000,5.229576,1237500
2018-09-11,5.340000,5.370000,5.290000,5.340000,5.229576,839000
2018-09-12,5.400000,5.400000,5.350000,5.360000,5.249162,1696700
2018-09-13,5.390000,5.450000,5.380000,5.410000,5.298128,1844100
2018-09-14,5.420000,5.430000,5.330000,5.330000,5.219782,677300
2018-09-17,5.320000,5.320000,5.240000,5.260000,5.151230,679000
2018-09-18,5.240000,5.350000,5.240000,5.320000,5.209989,851700
2018-09-19,5.330000,5.350000,5.280000,5.320000,5.209989,996100
2018-09-20,5.350000,5.360000,5.310000,5.330000,5.219782,1197000
2018-09-21,5.350000,5.360000,5.310000,5.330000,5.219782,3522000
2018-09-24,5.250000,5.340000,5.250000,5.320000,5.209989,831500
2018-09-25,5.260000,5.380000,5.250000,5.370000,5.258955,865400
2018-09-26,5.200000,5.340000,5.200000,5.280000,5.170816,1620200
2018-09-27,5.220000,5.280000,5.190000,5.210000,5.102263,1106700
2018-09-28,5.250000,5.260000,5.180000,5.210000,5.102263,554100
2018-10-01,5.280000,5.280000,5.210000,5.240000,5.131643,938200
2018-10-02,5.250000,5.250000,5.180000,5.200000,5.092471,544300
2018-10-03,5.220000,5.250000,5.170000,5.230000,5.121850,1668000
2018-10-04,5.190000,5.190000,5.110000,5.130000,5.023918,365500
2018-10-05,5.160000,5.180000,5.100000,5.130000,5.023918,639300
2018-10-08,5.060000,5.100000,5.010000,5.040000,4.935780,672600
2018-10-09,5.040000,5.060000,5.000000,5.010000,4.906400,667800
2018-10-10,4.970000,4.980000,4.880000,4.900000,4.798674,1121800
2018-10-11,4.910000,5.060000,4.890000,4.950000,4.847640,1893300
2018-10-12,5.030000,5.100000,5.020000,5.050000,4.945573,962400
2018-10-15,5.060000,5.080000,5.010000,5.020000,4.916193,1764000
2018-10-16,5.050000,5.150000,5.050000,5.080000,4.974952,1641000
2018-10-17,5.090000,5.130000,5.020000,5.040000,4.935780,1071700
2018-10-18,5.050000,5.090000,5.020000,5.050000,4.945573,1073200
2018-10-19,5.070000,5.110000,5.060000,5.100000,4.994538,666700
2018-10-22,5.090000,5.130000,5.060000,5.130000,5.023918,559900
2018-10-23,4.940000,4.970000,4.910000,4.950000,4.847640,948700
2018-10-24,4.900000,4.980000,4.840000,4.880000,4.779088,972800
2018-10-25,5.050000,5.130000,5.020000,5.120000,5.014124,870800
2018-10-26,5.060000,5.200000,5.040000,5.110000,5.004332,718100
2018-10-29,5.200000,5.260000,5.150000,5.200000,5.092471,806700
2018-10-30,5.190000,5.200000,5.120000,5.160000,5.053298,479300
2018-10-31,5.180000,5.230000,5.170000,5.170000,5.063091,923200
2018-11-01,5.220000,5.270000,5.140000,5.250000,5.141436,680300
2018-11-02,5.120000,5.160000,5.050000,5.060000,4.955366,652700
2018-11-05,5.100000,5.140000,5.100000,5.100000,4.994538,824800
2018-11-06,5.130000,5.170000,5.130000,5.160000,5.053298,519700
2018-11-07,5.200000,5.200000,5.060000,5.140000,5.033711,905500
2018-11-08,5.120000,5.140000,5.040000,5.050000,4.945573,875300
2018-11-09,5.070000,5.110000,5.010000,5.060000,4.955366,780300
2018-11-12,5.050000,5.060000,5.010000,5.040000,4.935780,626600
2018-11-13,5.070000,5.150000,5.030000,5.140000,5.033711,1825500
2018-11-14,5.100000,5.210000,5.100000,5.170000,5.063091,1274600
2018-11-15,5.140000,5.290000,5.130000,5.280000,5.170816,791100
2018-11-16,5.250000,5.340000,5.210000,5.260000,5.151230,775500
2018-11-19,5.320000,5.340000,5.210000,5.280000,5.170816,1315700
2018-11-20,5.140000,5.190000,5.050000,5.070000,4.965160,1143500
2018-11-21,5.050000,5.120000,5.050000,5.120000,5.014124,593200
2018-11-23,5.050000,5.100000,5.040000,5.080000,4.974952,593300
2018-11-26,5.170000,5.170000,5.090000,5.100000,4.994538,822900
2018-11-27,5.050000,5.080000,5.020000,5.040000,4.935780,383800
